Template,Type,Short code,Category,Prior to,Active?,Where it prints,Description (staff),Description (borrower)
Vesting – LLC / Corporation,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint,,"Provide: Articles of Organization/Incorporation, Operating Agreement/Bylaws, EIN confirmation, Resolution/Authorization from entity authorizing loan and identifying authorized signatory. All members/managers with ______%+ interest must be identified."
Seasoning Requirement - ,Underwriting,UW,Property,Approval,yes,ExternalPrint | InternalPrint,under 6 months - prove costs and improvements,"Please Provide a copy of the Closing Disclosure (CD)  and Appraisal from the original purchase.
Please provide Scope of work to prove imporovements"
Credit Supplement,Underwriting,UW,Credit,Approval,yes,InternalPrint | ExternalPrint,Lender to obtain satisfactory credit supplement,Lender to obtain satisfactory credit supplement
REO Section,Underwriting,YSCAP,Credit,Docs,yes,ExternalPrint,Oak Tree ONLY,"Provide updated 1003 with REO section completed in its entirety (including the Taxes, Insurance, HOA info) for the primary residence and provide a LOE language. Provide an LOE confirming that all expenses are escrowed and included in the attached mortgage payment, and that there is no HOA on any of the properties."
RCE,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint,Oak Tree ONLY,Provide a replacement cost estimator for all loans. 
Mortgage Statement - ,Underwriting,UW,Credit,Approval,yes,ExternalPrint | InternalPrint,Primary housing,"Please provide your most recent mortgage statement for Your primary housing mortgage, credxxx acc #xxxx"
Order credit supplements,Underwriting,UW,Credit,Approval,yes,InternalPrint,as needed,
Seller Contribution,Closing,CL,Assets,Closing,yes,ExternalPrint,,Seller contribution cannot exceed  ____ %  ($__________________)
Evidence Loan is Paid Off,Closing,CL,Credit,Funding,yes,ExternalPrint,,Provide documentation verifying the following lien(s) has been paid in full and released. (                                )
USDA - GUS/Ratio Restrictions,Underwriting,UW,Income,Approval,yes,InternalPrint,GUS (Guaranteed Underwriting System) Approval required or max ratios cannot exceed 29/41%. Increase to 31/43% allowed for home built post 1/2001,
Credit – Housing History (Investor Specific) VOR,Underwriting,YSCAP,Credit,Docs,yes,ExternalPrint,"NQMF ONLY   For Primary home, subject and depending on investor it may be other REO for DSCR. Also if reporting on the credit report must conditon for proof current through closing. ",Provide most recent 12 months rental housing history. Options: 1) Third Party VOR or Private Party VOR with 12 months cancelled checks to support ontime payments. (Must document that it has been paid through the month of closing.) Also provide current lease fully executed. 
VOR  -Verification of Rent,Underwriting,UW,Credit,Approval,yes,ExternalPrint | InternalPrint,Provide verification of rent history from landlord or property manager to evidence payment history for last 12 months has been satisfactory.,Provide verification of rent history from landlord or property manager to evidence payment history for last 12 months has been satisfactory.
Customer Identification,Underwriting,YSCAP,Miscellaneous,Funding,yes,ExternalPrint | InternalPrint, NOTE: Check 1003 to confirm type of ID required.,Notary/Closing Agent  to complete Customer Identification Form and provide legible copy of driver's license or other acceptable form of identification.
Rider – PPP,Underwriting,YSCAP,Miscellaneous,Funding,yes,ExternalPrint,,"Transaction has a Prepayment Penalty. Confirm we have the PPP Note and if PPP Rider is selected on the Mortgage, confirm we have the PPP Rider. (Add if shows PPP on lock screen floating or locked.)"
VA - Termite Inspection Report & Invoice,Underwriting,UW,Property,Approval,yes,ExternalPrint,,Provide a borrower signed clear termite inspection report and invoice dated within the last 90 days.
Sales Contract,Underwriting,YSCAP,Property,Docs,yes,ExternalPrint,,Fully executed sales contract including all addendums
Closing Doc Request,Underwriting,YSCAP,Miscellaneous,Funding,yes,InternalPrint,,Provide completed closing docs package.
Housing History through Closing VOM,Underwriting,YSCAP,Credit,Docs,yes,ExternalPrint,OakTree ONLY,"Provide proof all mortgages reporting on the credit report are paid current through closing with any of the following a credit supplement, Bank statement showing cleared, Mortgage statement or VOM."
Vesting – LLC / Corporation- Signature Block,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint,,Subject loan is closing in the name of an entity. The signature block is to appear as shown below:
Coop Budget,Underwriting,UW,Property,Approval,yes,ExternalPrint,,"Current Year Budget with Annual Income, Expenses and Cash Reserve Balance"
Large Deposit(s),Underwriting,UW,Assets,Approval,yes,ExternalPrint,,Provide documentation reflecting the source of the large deposit into (bank/last four digits of account#) for (amount) on (date). 
Pay Stub Loan(s) Letter of Explanation,Underwriting,UW,Credit,Approval,yes,ExternalPrint,,Written/Signed letter of explanation for any non 401(k) Loans on paystub
Letter of Explanation - Address Variations - ,Underwriting,UW,Credit,Approval,yes,ExternalPrint | InternalPrint,,"We'll need a signed and dated Letter of Explanation covering the following address reported on your credit and/or fraud report: AdressXXXXXXXXXX; Adressxxxxxxxxxxxxx. The letter must include your affiliation to these addresses. You can either provide the details for each address, and we’ll draft the letter for you ; or you may write and sign it yourself."
REO - ,Preliminary,Pre,Credit,Submittal,yes,ExternalPrint | InternalPrint,"confirm address, creditor, open balance","Please email the most recent monthly mortgage statements for each mortgaeg account showing on credit. I listed them below for easy reference - creditorxxxx - Account number: X6X93-8X79X2-56 - Approx monthly payment: $X3,6XX29 - Date opened: 0X/0X/20X20"
Request Gift Letter,Underwriting,UW,Assets,Approval,yes,InternalPrint,,
VA - Benefits,Underwriting,UW,Income,Approval,yes,ExternalPrint,,Provide a copy of the most recent VA income letter or distribution form for each borrower receiving VA benefits.
Customer Identification,Closing,CL,Miscellaneous,Closing,yes,ExternalPrint,,Complete Customer Identification Form and provide legible copy of driver's license or other acceptable form of identification
VA - Soil Treatment Guarantee,Underwriting,UW,Property,Approval,yes,ExternalPrint,,Provide evidence of soil treatment guarantee.
Child Care Letter,Underwriting,UW,Credit,Approval,yes,ExternalPrint,,Provide letter from child care provider to show amount of monthly child care
Payoff Letter - ,Underwriting,UW,Property,Approval,yes,ExternalPrint | InternalPrint,,For all existing Leins
Title Work,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint | InternalPrint,Receipt and review of required title work with a 24 month chain of title. Outstanding liens and exceptions to the final policy have all been addressed.,"Provide Title Report with a 24-month chain of title, CPL, E&O, Tax Cert, Estimated HUD with lender/title/closing agent fees, and Title Wire Instructions.
"
Proof Manufactured Home taxed as real estate,Underwriting,UW,Property,Approval,yes,ExternalPrint,,Proof Manufactured Home taxed as real estate
Retirement Statements,Underwriting,UW,Assets,Approval,yes,ExternalPrint,,"Provide the most recent depository or brokerage retirement account statements to verify assets required for down payment, closing costs, and/or reserves. If the funds will be used for down payment or closing costs, additional documentation may be required."
Tax Certificate,Underwriting,YSCAP,Miscellaneous,Docs,yes,ExternalPrint | InternalPrint,,"Provide Tax Certificate/Information sheet. If current tax bill is for vacant/unimproved loan, estimated account is required for proposed taxes. For properties with tax abatements, provide documentation of abatement details and expiration."
Rental Income Receipt,Underwriting,YSCAP,Income,Docs,yes,ExternalPrint,,"Provide proof ____ months of bank statements showing receipt of rental deposits.
"
Social Security Income,Underwriting,UW,Income,Approval,yes,ExternalPrint,,Provide a copy of most recent Social Security award letter for all borrowers receiving Social Security income. 
VA - Benefit Related Debt Letter,Underwriting,UW,Miscellaneous,Approval,yes,ExternalPrint | InternalPrint,Benefit Related Debt Letter To Be Completed By VA To Document Any Disability And Funding Fee Waivers,Benefit Related Debt Letter To Be Completed By VA To Document Any Disability And Funding Fee Waivers
Lease Agreement (Rent Primary),Underwriting,YSCAP,Income,Docs,yes,ExternalPrint,,"If the borrower is renting their primary home, we will require a fully executed lease agreement in addition to the VOR."
Termite Soil/Wood Treatment Guaranty,Underwriting,UW,Property,Closing,yes,ExternalPrint,,5 Year Termite Soil/Wood Treatment Guaranty
